id;node_name;cpu_usage;ram_usage;uptime;created_at
1033;prx3;0.7;24.14;521454;2025-12-19 15:08:51.183326+00:00
1032;prx2;0.17;4.68;521405;2025-12-19 15:08:45.886086+00:00
1031;prx1;0.07;3.26;521324;2025-12-19 15:08:41.416640+00:00
1030;prx3;0.74;24.13;521438;2025-12-19 15:08:35.998078+00:00
1029;prx2;0.17;4.68;521390;2025-12-19 15:08:30.673770+00:00
1028;prx3;1.07;24.15;521429;2025-12-19 15:08:26.148623+00:00
1027;prx3;1.07;24.15;521423;2025-12-19 15:08:20.784207+00:00
1026;prx2;0.15;4.69;521374;2025-12-19 15:08:15.517048+00:00
1025;prx1;0.08;3.26;521294;2025-12-19 15:08:10.921738+00:00
1024;prx3;0.75;24.13;521408;2025-12-19 15:08:05.576754+00:00
1023;prx2;0.21;4.68;521359;2025-12-19 15:08:00.319262+00:00
1022;prx3;0.78;24.14;521398;2025-12-19 15:07:55.701500+00:00
1021;prx3;0.77;24.14;521393;2025-12-19 15:07:50.385150+00:00
1020;prx2;0.34;4.7;521344;2025-12-19 15:07:45.160477+00:00
1019;prx3;0.72;24.15;521383;2025-12-19 15:07:40.483587+00:00
1018;prx3;0.86;24.15;521378;2025-12-19 15:07:35.179295+00:00
1017;prx2;0.21;4.7;521329;2025-12-19 15:07:29.982872+00:00
1016;prx3;0.66;24.16;521368;2025-12-19 15:07:25.248184+00:00
1015;prx3;1.16;24.14;521362;2025-12-19 15:07:19.990888+00:00
1014;prx2;0.24;4.7;521314;2025-12-19 15:07:14.828296+00:00
1013;prx3;1.31;24.14;521352;2025-12-19 15:07:10.011161+00:00
1012;prx3;0.78;24.12;521347;2025-12-19 15:07:04.790519+00:00
1011;prx2;0.47;4.7;521298;2025-12-19 15:06:59.637080+00:00
1010;prx3;0.78;24.13;521337;2025-12-19 15:06:54.767941+00:00
1009;prx3;0.89;24.13;521332;2025-12-19 15:06:49.562822+00:00
1008;prx2;0.36;4.7;521283;2025-12-19 15:06:44.443552+00:00
1007;prx1;0.08;3.23;521202;2025-12-19 15:06:39.518286+00:00
1006;prx3;0.83;24.14;521317;2025-12-19 15:06:34.363895+00:00
1005;prx2;0.37;4.7;521268;2025-12-19 15:06:29.282683+00:00
1004;prx3;0.87;24.14;521307;2025-12-19 15:06:24.266167+00:00
1003;prx3;1.01;24.12;521302;2025-12-19 15:06:19.176809+00:00
1002;prx2;0.41;4.7;521253;2025-12-19 15:06:14.125038+00:00
1001;prx3;1.21;24.13;521291;2025-12-19 15:06:09.038328+00:00
1000;prx3;1.05;24.12;521286;2025-12-19 15:06:03.978423+00:00
999;prx2;0.4;4.69;521238;2025-12-19 15:05:58.916955+00:00
998;prx3;0.92;24.14;521276;2025-12-19 15:05:53.800918+00:00
997;prx3;1.06;24.13;521271;2025-12-19 15:05:48.794385+00:00
996;prx2;0.38;4.69;521223;2025-12-19 15:05:43.724883+00:00
995;prx1;0.09;3.25;521112;2025-12-19 15:05:09.690122+00:00
994;prx3;0.93;24.14;521231;2025-12-19 15:05:08.883757+00:00
993;prx2;0.44;4.69;521187;2025-12-19 15:05:08.534482+00:00
992;prx3;0.54;24.15;521217;2025-12-19 15:04:54.331472+00:00
991;prx3;0.87;24.14;521216;2025-12-19 15:04:53.647653+00:00
990;prx2;0.37;4.69;521172;2025-12-19 15:04:53.365374+00:00
989;prx3;0.64;24.15;521202;2025-12-19 15:04:39.145190+00:00
988;prx3;0.88;24.14;521201;2025-12-19 15:04:38.459377+00:00
987;prx2;0.39;4.7;521157;2025-12-19 15:04:38.443318+00:00
986;prx3;0.9;24.17;521186;2025-12-19 15:04:23.892991+00:00
